,id,title,city,quarter,price,qm,n_room,n_page,price_per_qm
35,113393585,Großer Garten und zwei Terrassen: moderne 3-Zimmer-Wohnung mit guter Anbindung in Waidmannslust ,Berlin,Waidmannslust (Reinickendorf),545000.0,94.72,3.0,2,5753.8
36,113393613,Ihr eigenes Stück Grün in Waidmannslust: großzügige 4-Zimmer-Wohnung mit großem Garten ,Berlin,Waidmannslust (Reinickendorf),713000.0,124.08,4.0,2,5746.3
37,113931060,Terrasse mit eigenem Garten: moderne 2-Zimmer-Wohnung im Neubau in Köpenick,Berlin,Köpenick (Köpenick),399750.0,74.02,2.0,2,5400.6
38,113931093,Große 4-Zimmer-Wohnung mit 2 sonnigen Balkonen und moderner Ausstattung,Berlin,Köpenick (Köpenick),681000.0,131.13,4.0,2,5193.3
39,114579506,Zwei Dachterrassen: Große 2-Zimmer-Wohnung in Top-Lage am Bergmannkiez,Berlin,Kreuzberg (Kreuzberg),841000.0,88.53,2.0,2,9499.6
40,114579520,Gemütliche 1-Zimmer-Wohnung mit Garten in sehr gut angebundener Lage in Kreuzberg,Berlin,Kreuzberg (Kreuzberg),322000.0,41.17,1.0,3,7821.2
41,115337106,2052 INDUSTRIELOFTS - MAXIMALER RAUM FÜR PERSÖNLICHE WOHNIDEEN,Berlin,Lichtenberg (Lichtenberg),464900.0,94.28,3.0,3,4931.1
42,115337081,2052 INDUSTRIELOFTS - MAXIMALER RAUM FÜR PERSÖNLICHE WOHNIDEEN,Berlin,Lichtenberg (Lichtenberg),849900.0,169.02,4.0,3,5028.4
43,114513073,2052 INDUSTRIELOFTS - MAXIMALER RAUM FÜR PERSÖNLICHE WOHNIDEEN,Berlin,Lichtenberg (Lichtenberg),1399900.0,213.95,5.0,3,6543.1
44,114513064,2052 INDUSTRIELOFTS - MAXIMALER RAUM FÜR PERSÖNLICHE WOHNIDEEN,Berlin,Lichtenberg (Lichtenberg),779900.0,133.33,4.0,3,5849.4
45,114513061,2052 INDUSTRIELOFTS - MAXIMALER RAUM FÜR PERSÖNLICHE WOHNIDEEN,Berlin,Lichtenberg (Lichtenberg),779900.0,167.42,3.0,3,4658.3
46,113270776,2052 INDUSTRIELOFTS - MAXIMALER RAUM FÜR PERSÖNLICHE WOHNIDEEN,Berlin,Lichtenberg (Lichtenberg),1529900.0,248.0,6.0,3,6169.0
47,111605002,2052 INDUSTRIELOFTS - MAXIMALER RAUM FÜR PERSÖNLICHE WOHNIDEEN,Berlin,Lichtenberg (Lichtenberg),514900.0,91.15,3.0,3,5648.9
48,111604982,2052 INDUSTRIELOFTS - MAXIMALER RAUM FÜR PERSÖNLICHE WOHNIDEEN,Berlin,Lichtenberg (Lichtenberg),484900.0,90.44,3.0,3,5361.6
49,111604945,2052 INDUSTRIELOFTS - MAXIMALER RAUM FÜR PERSÖNLICHE WOHNIDEEN,Berlin,Lichtenberg (Lichtenberg),534900.0,102.84,4.0,3,5201.3
50,111604870,2052 INDUSTRIELOFTS - MAXIMALER RAUM FÜR PERSÖNLICHE WOHNIDEEN,Berlin,Lichtenberg (Lichtenberg),1329900.0,248.59,6.0,3,5349.8
51,111075645,2052 INDUSTRIELOFTS - MAXIMALER RAUM FÜR PERSÖNLICHE WOHNIDEEN,Berlin,Lichtenberg (Lichtenberg),799900.0,154.47,3.0,3,5178.4
52,109769783,2052 INDUSTRIELOFTS - MAXIMALER RAUM FÜR PERSÖNLICHE WOHNIDEEN,Berlin,Lichtenberg (Lichtenberg),469900.0,91.44,2.0,3,5138.9
53,109769771,2052 INDUSTRIELOFTS - MAXIMALER RAUM FÜR PERSÖNLICHE WOHNIDEEN,Berlin,Lichtenberg (Lichtenberg),519900.0,103.84,3.0,3,5006.7
54,109769686,2052 INDUSTRIELOFTS - MAXIMALER RAUM FÜR PERSÖNLICHE WOHNIDEEN,Berlin,Lichtenberg (Lichtenberg),499900.0,92.02,2.0,3,5432.5
55,115346951,Premium Studio-Apartment in Gründerzeit-Ensemble 500 Meter zum Potsdamer Platz!,Berlin,Kreuzberg (Kreuzberg),298800.0,36.0,1.0,3,8300.0
56,115421381,Für Kreative! Paul-Lincke-Ufer - Unsanierte Gründerzeit Wohnung mit Wasserblick!,Berlin,Kreuzberg (Kreuzberg),1149360.0,121.0,4.0,3,9498.8
57,115118278,(Berliner) Altbaucharme mit viel Potential,Berlin,Charlottenburg (Charlottenburg),450000.0,94.93,3.0,3,4740.3
58,115119404,Alexa - in welcher Farbe soll gestrichen werden?,Berlin,Neukölln (Neukölln),450000.0,80.31,3.0,3,5603.3
59,115090082,Provisionsfrei! Nahe Hauptbahnhof und frei!,Berlin,Mitte (Mitte),350000.0,59.5,2.0,3,5882.4
60,112931133,Perfekt für Kapitalanleger: Vermietete 1-Zimmer-Wohnung mit Balkon,Berlin,Charlottenburg (Charlottenburg),160000.0,43.16,1.0,4,3707.1
61,112894091,Top Investment mit garantierter Rendite über 4%,Berlin,Charlottenburg (Charlottenburg),220000.0,43.16,1.0,4,5097.3
62,112894081,"Großzügige 2,5-Zimmer-Wohnung im lebendigen Charlottenburg, Top-Lage",Berlin,Charlottenburg (Charlottenburg),389000.0,70.07,2.5,4,5551.6
63,115090079,Viel Platz für euch! bezugsfrei ,Berlin,Friedrichshain (Friedrichshain),400000.0,81.62,2.0,4,4900.8
64,107599650,Vermietete DG-Wohnung mit Terrasse in beliebter Pankower Kiezlage,Berlin,Pankow (Pankow),539500.0,130.0,3.5,4,4150.0
65,103933793,Vermietete Altbauwohnung mit Loggia in ruhiger Lage,Berlin,Steglitz (Steglitz),174613.0,57.25,2.0,4,3050.0
66,103913006,Vermietete Altbauwohnung mit 2 Balkonen und Aufzug,Berlin,Steglitz (Steglitz),456885.0,117.15,4.0,4,3900.0
67,106214668,2.800 EUR/m² - Kapitalanlage mit attraktiver Rendite!,Berlin,Lichtenrade (Tempelhof),249110.0,70.7,2.0,4,3523.5
68,106214552,Berlin-Lichtenrade: 2.850 EUR/m² - Jetzt attraktive Kapitalanlage sichern!,Berlin,Lichtenrade (Tempelhof),248298.0,70.41,2.0,4,3526.5
69,112253613,Helles Wohnen im Graefekiez: Altbauwohnung mit Balkon und Aufzug,Berlin,Kreuzberg (Kreuzberg),438000.0,60.0,2.0,4,7300.0
70,112253884,Wohnen im Graefekiez: Helles Apartment im Berliner Altbau - frei ab 01.05.2020,Berlin,Kreuzberg (Kreuzberg),279900.0,46.95,2.0,4,5961.7
71,112253978,Für Singles: Altbau-Apartment in bester Kiezlage,Berlin,Kreuzberg (Kreuzberg),185000.0,34.0,1.0,4,5441.2
72,114633676,Ideale Rückzugsort mitten in Berlin: 2-Zimmer-Wohnung auf ca. 62 m² mit Balkon und Abstellraum,Berlin,Mitte (Mitte),515600.0,62.27,2.0,4,8280.1
73,114633611,"In direkter Nähe zu den pulsierenden Anziehungspunkten Berlins: ETW mit 2 Zimmer, 53 m² und Balkon",Berlin,Mitte (Mitte),449200.0,53.29,2.0,4,8429.3
74,114633482,DAS BESONDERE LEBEN - Barrierefreie 2-Zimmer-Wohnung auf ca. 52 m² mit Balkon,Berlin,Mitte (Mitte),431900.0,51.88,2.0,4,8325.0
75,114633384,*Sich auf internationalem Parkett bewegen* 3-Zimmer-Wohnung mit 86 m² und 2 Dachterrassen,Berlin,Mitte (Mitte),812000.0,85.92,3.0,4,9450.7
76,114632268,*Inmitten der Metropole Ruhe und Entspannung genießen* 2-Zimmer-Wohnung im EG mit Terrasse,Berlin,Mitte (Mitte),413500.0,50.27,2.0,4,8225.6
77,109627661,"Nahe der Spree: Ein idealer Rückzugsort, der Komfort und gehobene Lebensqualität bietet!",Berlin,Mitte (Mitte),492000.0,54.42,2.0,4,9040.8
78,109626981,Unverbaubarer Parkblick! Niveauvoll leben am Puls der Stadt!,Berlin,Mitte (Mitte),739200.0,81.32,3.0,4,9090.0
79,109626556,"Maisonette-Wohnung mit ungeahntem Wohnkomfort! 3 Zimmer, ca. 100 m², Schlafzimmer mit Ankleide",Berlin,Mitte (Mitte),811900.0,99.93,3.0,4,8124.7
80,114939280,Solide Kapitalanlage unweit vom Steglitzer Park,Berlin,Steglitz (Steglitz),230000.0,57.0,2.0,5,4035.1
81,113985375,Bezugsfreie Hochparterre-Wohnung mit Westbalkon,Berlin,Steglitz (Steglitz),185000.0,38.0,1.0,5,4868.4
82,113985368,Großzügige möbilierte 1-Zimmer-Wohnung nahe Stadtpark Steglitz,Berlin,Steglitz (Steglitz),220000.0,51.0,1.0,5,4313.7
83,111741882,+++SOFORT BEZUGSFREI++3 ZIMMERWOHNUNG++FRIEDRICHSHAIN++BALKON+++,Berlin,Friedrichshain (Friedrichshain),529000.0,90.0,3.0,5,5877.8
