Jahr,Bundesland,Beförderte Personen,Beförderungsleistung,Fahrleistung,Bevölkerung,Fläche,Bevölkerungsdichte,Neue Länder,Stadtstaaten
2007,Schleswig-Holstein,221647302,3295156962,140519989,2835000,15802,179.40766991520061,0,0
2007,Thüringen,165009681,2759681424,120370946,2300000,16202,141.95778298975435,1,0
2008,Baden-Württemberg,1165143841,11514872002,465153617,10751000,35674,301.3679430397488,0,0
2008,Bayern,1308295970,14959749770,616091919,12526000,70542,177.56797368943324,0,0
2008,Berlin,1224685115,8152524204,177070304,3424000,891,3842.8731762065095,0,1
2008,Brandenburg,134795947,2036622421,114282894,2529000,29654,85.2836042355163,1,0
2008,Bremen,149706186,1100951660,57921778,662000,420,1576.1904761904761,0,1
2008,Hamburg,607733427,4018140781,99299767,1772000,755,2347.019867549669,0,1
2008,Hessen,1547328433,32946204094,660724967,6071000,21116,287.5071036181095,0,0
2008,Mecklenburg-Vorpommern,117562108,1668855036,90385387,1672000,23293,71.78122182629974,1,0
2008,Niedersachsen,573684420,8276137602,333846758,7964000,47710,166.92517291972334,0,0
2008,Nordrhein-Westfalen,2499017733,24165520167,781460966,17971000,34113,526.8079617741037,0,0
2008,Rheinland-Pfalz,270003642,3690962741,172549826,4039000,19858,203.39409809648504,0,0
2008,Saarland,102188394,1222790679,60488108,1035000,2571,402.5670945157526,0,0
2008,Sachsen,438124813,4619326217,211232090,4205000,18450,227.91327913279133,1,0
2008,Sachsen-Anhalt,181554896,2304931149,118058506,2397000,20452,117.20125171132408,1,0
2008,Schleswig-Holstein,223960016,3290746969,139651683,2837000,15802,179.53423617263638,0,0
2008,Thüringen,161197118,2645183564,116082084,2278000,16202,140.59992593506973,1,0
2009,Baden-Württemberg,1164239646,11328759935,469952833,10751000,35674,301.3679430397488,0,0
2009,Bayern,1315529311,15064812914,629759505,12510000,70542,177.34115845879052,0,0
2009,Berlin,1321149273,8581194238,187474488,3436000,891,3856.341189674523,0,1
2009,Brandenburg,138949415,1845125135,114082882,2517000,29654,84.87893707425643,1,0
2009,Bremen,152304568,1082811560,57376358,661000,420,1573.8095238095239,0,1
2009,Hamburg,591535024,4083648487,102357889,1780000,755,2357.615894039735,0,1
2009,Hessen,1602340910,33022490520,672135905,6063000,21116,287.1282439856033,0,0
2009,Mecklenburg-Vorpommern,117893830,1547011410,88880585,1657000,23293,71.13725153479587,1,0
2009,Niedersachsen,592056674,7975349693,323841290,7938000,47710,166.38021379165792,0,0
2009,Nordrhein-Westfalen,2505126163,24528953465,787656448,17903000,34113,524.814586814411,0,0
2009,Rheinland-Pfalz,273367004,3754914824,192919546,4021000,19858,202.48766240306173,0,0
2009,Saarland,100179459,1217874630,62604543,1029000,2571,400.2333722287048,0,0
2009,Sachsen,437672642,4540884503,205614875,4179000,18450,226.5040650406504,1,0
2009,Sachsen-Anhalt,181371095,2188459098,121355402,2369000,20452,115.83219245061608,1,0
2009,Schleswig-Holstein,226549663,3382354829,127773892,2833000,15802,179.28110365776485,0,0
2009,Thüringen,162019216,1891592042,113656762,2258000,16202,139.365510430811,1,0
2010,Baden-Württemberg,1183396625,11160109133,469893506,10744000,35674,301.17172170207994,0,0
2010,Bayern,1321560111,15066490151,630720754,12512000,70542,177.36951036262084,0,0
2010,Berlin,1326214561,8460576796,190241539,3445000,891,3866.442199775533,0,1
2010,Brandenburg,136787645,1782247394,113437212,2507000,29654,84.5417144398732,1,0
2010,Bremen,154578914,1110176653,60920318,660000,420,1571.4285714285713,0,1
2010,Hamburg,625690596,4343643143,104584768,1777000,755,2353.6423841059604,0,1
2010,Hessen,1633639784,33465820362,668578908,6063000,21116,287.1282439856033,0,0
2010,Mecklenburg-Vorpommern,118556097,1816369102,95360928,1645000,23293,70.62207530159276,1,0
2010,Niedersachsen,605733470,8041827263,329945484,7923000,47710,166.06581429469713,0,0
2010,Nordrhein-Westfalen,2485895872,24069672455,777249362,17844000,34113,523.0850408935011,0,0
2010,Rheinland-Pfalz,241774642,3525122715,187900694,4005000,19858,201.68194178668546,0,0
2010,Saarland,98621446,1189072989,61191982,1021000,2571,397.121742512641,0,0
2010,Sachsen,454813496,4633784732,210166583,4153000,18450,225.09485094850947,1,0
2010,Sachsen-Anhalt,179052650,2153584075,116542861,2343000,20452,114.56092313710151,1,0
2010,Schleswig-Holstein,225322444,3113265158,126209829,2831000,15802,179.15453740032908,0,0
2010,Thüringen,165866048,1935826053,113199460,2241000,16202,138.3162572521911,1,0
2011,Baden-Württemberg,1189277393,11381298328,469780816,10494000,35674,294.16381678533384,0,0
2011,Bayern,1332555998,14990362597,628371953,12409000,70542,175.90938731535823,0,0
2011,Berlin,1346801239,8995364917,192142148,3300000,891,3703.703703703704,0,1
2011,Brandenburg,133274041,1817908901,113591638,2456000,29654,82.82187900451878,1,0
2011,Bremen,152181079,1118797378,61374915,651000,420,1550.0,0,1
2011,Hamburg,635080641,4291886676,100249510,1711000,755,2266.225165562914,0,1
2011,Hessen,1672685981,34410677864,658467277,5979000,21116,283.1502178442887,0,0
2011,Mecklenburg-Vorpommern,117082882,1890779275,96273993,1610000,23293,69.11947795475035,1,0
2011,Niedersachsen,614881080,8464777919,329997787,7778000,47710,163.02661915740936,0,0
2011,Nordrhein-Westfalen,2488525297,24050500564,757794996,17541000,34113,514.2027965878111,0,0
2011,Rheinland-Pfalz,225485968,3652069135,171171418,3991000,19858,200.97693624735624,0,0
2011,Saarland,98494241,1167764040,60285442,999000,2571,388.56476079346555,0,0
