;id;title;city;quarter;postcode;street;houseNo;price;qm;n_room;latitude;longitude;privateOffer;marketingType;hasCourtage;n_page_is24;price_per_qm
24;113014455;fleur de berlin - Barrierefreie Stadtwohnung mit Blick ins Grüne;Berlin;Wittenau (Reinickendorf);13469;Avenue Charles de Gaulle;10;264000.0;54.0;2.0;52.60263;13.32091;false;PURCHASE;NO;2;4888.9
25;113006353;fleur de berlin -  Ruhiggelegene Erdgeschosswohnung in Berlin-Wittenau;Berlin;Wittenau (Reinickendorf);13469;Avenue Charles de Gaulle;10;262000.0;58.0;2.0;52.60263;13.32091;false;PURCHASE;NO;2;4517.2
26;112946835;Entspannung pur: 60 m²-Dachterrasse, 2 Bäder und ein Blick ins Grüne;Berlin;Wittenau (Reinickendorf);13469;Avenue Charles de Gaulle;10;780000.0;132.0;4.0;52.60263;13.32091;false;PURCHASE;NO;2;5909.1
27;112723059;fleur de berlin - Ihr Penthouse mit großer Terrasse;Berlin;Wittenau (Reinickendorf);13469;Avenue Charles de Gaulle;10;540000.0;106.0;3.0;52.60263;13.32091;false;PURCHASE;NO;2;5094.3
28;112723025;fleur de berlin - Penthouse mit großer Terrasse;Berlin;Wittenau (Reinickendorf);13469;Avenue Charles de Gaulle;10;419000.0;91.0;2.0;52.60263;13.32091;false;PURCHASE;NO;2;4604.4
29;112520004;fleur de berlin - Ruhiggelegene Stadtwohnung in Wittenau;Berlin;Wittenau (Reinickendorf);13469;Avenue Charles de Gaulle;10;379000.0;83.0;3.0;52.60263;13.32091;false;PURCHASE;NO;2;4566.3
30;112519870;fleur de berlin - Ruhige Neubau-Wohnung mit zwei Zimmern und Balkon;Berlin;Wittenau (Reinickendorf);13469;Avenue Charles de Gaulle;10;254000.0;55.0;2.0;52.60263;13.32091;false;PURCHASE;NO;2;4618.2
31;112054442;Penthouse mit großer Südterrasse und zwei Bädern im Erstbezug;Berlin;Wittenau (Reinickendorf);13469;Avenue Charles de Gaulle;10;514000.0;97.0;3.0;52.60263;13.32091;false;PURCHASE;NO;2;5299.0
32;112049819;Modernes 2-Zimmer-Apartment mit intelligentem Grundriss;Berlin;Wittenau (Reinickendorf);13469;Avenue Charles de Gaulle;10;230000.0;48.0;2.0;52.60263;13.32091;false;PURCHASE;NO;2;4791.7
33;112045932;fleur de berlin - Vereinbaren Sie Ihren Beratungstrermin!;Berlin;Wittenau (Reinickendorf);13469;Avenue Charles de Gaulle;10;314000.0;66.0;2.5;52.60263;13.32091;false;PURCHASE;NO;2;4757.6
34;111516378;Helle Neubauwohnung mit 2 Bädern im Erstbezug!;Berlin;Wittenau (Reinickendorf);13469;Avenue Charles de Gaulle;10;434000.0;90.0;3.0;52.60263;13.32091;false;PURCHASE;NO;2;4822.2
35;110900306;Penthouse-Wohnung mit  zwei großen Terrassen, Gründach, 2 Bädern und Ankleide;Berlin;Wittenau (Reinickendorf);13469;Avenue Charles de Gaulle;10;670000.0;131.0;4.0;52.60263;13.32091;false;PURCHASE;NO;2;5114.5
36;110152714;fleur de berlin - Besuchen Sie unseren Showroom auf dem Baufeld!;Berlin;Wittenau (Reinickendorf);13469;Avenue Charles de Gaulle;10;240000.0;48.0;2.0;52.60263;13.32091;false;PURCHASE;NO;2;5000.0
37;108412260;ÜBER DEN DÄCHERN VON BERLIN- großzügige 4-Zi-DG-Wohnung - provisionsfrei;Berlin;Wilmersdorf (Wilmersdorf);10711;Damaschkestraße;39;1190000.0;195.7;4.0;52.50144;13.2962;false;PURCHASE;NO;2;6080.7
38;114997342;WUNDERSCHÖN SANIERT & PROVISIONSFREI - 5 Zimmer mit Balkon und Platz für die ganze Familie!;Berlin;Wilmersdorf (Wilmersdorf);10711;Damaschkestraße;39;1140000.0;167.0;5.0;52.50144;13.2962;false;PURCHASE;NO;2;6826.3
39;114902292;Urbane Rückzugsoase: Sonnige 3-Zimmer-Wohnung mit Süd-Ost-Balkon;Berlin;Alt-Hohenschönhausen (Hohenschönhausen);13055;Konrad-Wolf-Straße;101;534000.0;87.05;3.0;52.54204;13.48898;false;PURCHASE;YES;2;6134.4
40;100120187;Jetzt einziehen: 4 Zimmer, 2 Bäder & dreiseitig umlaufende Terrasse;Berlin;Charlottenburg (Charlottenburg);14059;Heubnerweg;7a;1310698.0;176.28;5.0;52.52422;13.28847;false;PURCHASE;YES;3;7435.3
41;114937314;3-Zimmer-Wohnungen auf zwei Wohnetagen in Adlershof;Berlin;Adlershof (Treptow);12489;Rudower Chaussee;34;259000.0;60.96;3.0;52.42939;13.52654;false;PURCHASE;NO;3;4248.7
42;114937262;Ideal für Angestellte in Adlershof: modernes 2-Zimmer-Apartment mit hochwertiger Ausstattung;Berlin;Adlershof (Treptow);12489;Rudower Chaussee;34;274000.0;59.01;2.0;52.42939;13.52654;false;PURCHASE;NO;3;4643.3
43;112536100;Kapitalanlage mit Zukunft: möbliertes Mikro-Apartment mit Bad und Hauswirtschaftsraum in Adlershof;Berlin;Adlershof (Treptow);12489;Rudower Chaussee;34;179000.0;29.97;1.0;52.42939;13.52654;false;PURCHASE;NO;3;5972.6
44;112536075;Kurze Arbeitswege: 3-Zimmer-Maisonette mit moderner Ausstattung in Adlershof;Berlin;Adlershof (Treptow);12489;Rudower Chaussee;34;245000.0;61.44;2.0;52.42939;13.52654;false;PURCHASE;NO;3;3987.6
45;112536071;Wohnen auf zwei Ebenen: gemütliche Maisonette-Wohnung mit hochwertiger Ausstattung in Adlershof;Berlin;Adlershof (Treptow);12489;Rudower Chaussee;34;245000.0;61.44;2.0;52.42939;13.52654;false;PURCHASE;NO;3;3987.6
46;112536058;Attraktives Investment: modern möbliertes Mikro-Apartment mit bodengleicher Dusche in Adlershof;Berlin;Adlershof (Treptow);12489;Rudower Chaussee;34;154900.0;26.98;1.0;52.42939;13.52654;false;PURCHASE;NO;3;5741.3
47;114580376;Mitten im Leben! 3-Zimmer-Wohnung mit Barrierefreiheit, 2 Bädern und Balkon nahe Altstadt Köpenick;Berlin;Köpenick (Köpenick);12555;Spreestraße;6;449000.0;82.2;3.0;52.45053;13.57151;false;PURCHASE;NO;3;5462.3
48;114580252;Barrierefreie 3-Zimmer-Wohnung mit Loggia & Balkon in grüner Umgebung mit sehr guter Anbindung;Berlin;Köpenick (Köpenick);12555;Spreestraße;6;424000.0;81.1;3.0;52.45053;13.57151;false;PURCHASE;NO;3;5228.1
49;114301189;Ohne Provision! Sonnige 3-Zi.-Wohnung mit Blick weit über das Wasser und bis zur Altstadt;Berlin;Köpenick (Köpenick);12555;Spreestraße;14;754000.0;86.2;3.0;52.45022;13.57094;false;PURCHASE;NO;3;8747.1
50;114290973;Perfekte Symbiose aus Stadt & Natur: Großzügige 3-Zi.-Wohnung in Köpenick;Berlin;Köpenick (Köpenick);12555;Spreestraße;8;465000.0;84.5;3.0;52.45043;13.57172;false;PURCHASE;NO;3;5503.0
51;114290837;Offen & freundlich! 2-Zi.-Wohnung mit Süd-West-Loggia in direkter Wasserlage;Berlin;Köpenick (Köpenick);12555;Spreestraße;14;414000.0;52.6;2.0;52.45022;13.57094;false;PURCHASE;NO;3;7870.7
52;114290511;Urbane 3-Zi.-Wohnung mit zeitgemäßem Wohnkomfort und sonniger Loggia umgeben von viel Grün;Berlin;Köpenick (Köpenick);12555;Spreestraße;10;425000.0;78.0;3.0;52.45035;13.57152;false;PURCHASE;NO;3;5448.7
