;id;title;city;quarter;postcode;street;houseNo;purchase_price;rent_cold;qm;n_room;latitude;longitude;privateOffer;marketingType;hasCourtage;n_page_is24;rent_cold_per_qm
27;115230398;Tolle Singlewohnung im schönen Friedenau!;Berlin;Friedenau (Schöneberg);12159;Schnackenburgstr.;12-13;;409.0;32.0;1.0;52.47425;13.33402;false;RENT;;2;12.8
28;115205963;gemütliche 1-Zimmer-Wohnung in Moabit;Berlin;Tiergarten (Tiergarten);10551;Emdener Straße;29;;318.14;36.61;1.0;52.53245;13.33499;false;RENT;;2;8.7
29;84230002;2-Zimmer Maisonette Wohnung mit offener Küche!;Berlin;Reinickendorf (Reinickendorf);13403;Eichborndamm;39;;458.42;50.0;2.0;52.57163;13.31308;false;RENT;;2;9.2
30;113885749;PARAGON Apartments - 2 Zimmer, Parkett, EBK und ruhigem Balkon in Prenzlauer Berg;Berlin;Prenzlauer Berg (Prenzlauer Berg);10435;Danziger Straße;73;;1459.0;75.02;2.0;52.53925;13.4253;false;RENT;;2;19.4
31;115238928;Neubau Erstbezug Apartment vollmöbliert, löffelfertig und digital im Gleis Park;Berlin;Kreuzberg (Kreuzberg);10785;Schöneberger Ufer;5;;887.68;24.82;1.0;52.50168;13.37382;false;RENT;;2;35.8
32;115472015;Penthouse mit Dachterrasse und Balkon am Gleis Park;Berlin;Kreuzberg (Kreuzberg);10785;Schöneberger Ufer;5a;;3795.0;158.14;4.0;52.50198;13.37378;false;RENT;;2;24.0
33;115469574;Gleis Park Apartment mit Balkon;Berlin;Kreuzberg (Kreuzberg);10785;Schöneberger Ufer;5;;1480.0;70.49;2.0;52.49582;13.36897;false;RENT;;2;21.0
34;115340148;Neubau Erstbezug, vollmöbliert, löffelfertig und digital im Gleis Park;Berlin;Kreuzberg (Kreuzberg);10785;Schöneberger Ufer;5;;971.82;29.87;1.0;52.50168;13.37382;false;RENT;;2;32.5
35;115339973;Neubau Erstbezug, vollmöbliert, löffelfertig und digital im Gleis Park;Berlin;Kreuzberg (Kreuzberg);10785;Schöneberger Ufer;5;;1127.41;34.46;1.0;52.50168;13.37382;false;RENT;;2;32.7
36;115338103;Neubau Erstbezug, vollmöbliert, löffelfertig und digital im Gleis Park;Berlin;Kreuzberg (Kreuzberg);10785;Schöneberger Ufer;5;;973.51;29.33;1.0;52.50168;13.37382;false;RENT;;2;33.2
37;115239292;Gleis Park Apartment digital, vollmöbliert und löffelfertig;Berlin;Kreuzberg (Kreuzberg);10785;Schöneberger Ufer;5;;1609.61;49.68;2.0;52.50168;13.37382;false;RENT;;2;32.4
38;115239249;Neubau Erstbezug Apartment vollmöbliert löffelfertig und digital im Gleis Park;Berlin;Kreuzberg (Kreuzberg);10785;Schöneberger Ufer;5;;1046.7;31.5;1.0;52.50168;13.37382;false;RENT;;2;33.2
39;115239130;Gleis Park Apartment digital, vollmöbliert und löffelfertig;Berlin;Kreuzberg (Kreuzberg);10785;Schöneberger Ufer;5;;929.79;27.33;1.0;52.50168;13.37382;false;RENT;;2;34.0
40;115129950;Apartment mit Balkon im Gleis Park;Berlin;Kreuzberg (Kreuzberg);10785;Schöneberger Ufer;5a;;2077.0;90.31;3.0;52.50168;13.37382;false;RENT;;3;23.0
41;115129822;Apartment mit Balkon im Gleis Park;Berlin;Kreuzberg (Kreuzberg);10785;Schöneberger Ufer;5a;;1380.0;57.5;2.0;52.50168;13.37382;false;RENT;;3;24.0
42;115129447;Maisonette mit Terrasse und Balkon im Gleis Park;Berlin;Kreuzberg (Kreuzberg);10785;Schöneberger Ufer;5a;;2738.0;114.1;4.0;52.50168;13.37382;false;RENT;;3;24.0
43;113144431;!!WGs und Familien AUFGEPASST!! 3 Zimmer, große Wohnküche, Balkon!!!;Berlin;Tiergarten (Tiergarten);10553;Huttenstraße;72;;1541.0;119.47;4.0;52.52729;13.3281;false;RENT;;3;12.9
44;115320929;Click.Book.Live: Vollmöbliertes Single-Studio für Studenten;Berlin;Mitte (Mitte);10179;Köpenicker Straße ;43;;538.0;19.0;1.0;52.50883;13.4252;false;RENT;;3;28.3
45;101816513;Super 2-Zimmer-Wohnung zu vermieten! Besichtigung am 28.01.2020 um 08:00 Uhr;Berlin;Weißensee (Weißensee);13086;Roelckestr.;165;;597.0;70.0;3.0;52.55174;13.44297;false;RENT;;3;8.5
46;115350120;Besichtigung am Sonntag, den 26.01. um 11:30 Uhr!  2 Zimmer + Wohnküche! EBK! Parkett! Wintergarten;Berlin;Spandau (Spandau);13585;Kirchhofstraße;1;;599.0;85.33;3.0;52.5449;13.2073;false;RENT;;3;7.0
47;113389306;Großzügige Dachgeschoss-Maisonette in Ku'Damm-Nähe - Spacious top-floor duplex close to Ku'Damm;Berlin;Charlottenburg (Charlottenburg);10629;;;;2995.0;170.0;5.0;;;false;RENT;;3;17.6
48;115459180;** BES. SA. 25.01.20 UM 10.00 Uhr **  Hochparterre- Neubau in ruhiger Britzlage;Berlin;Britz (Neukölln);12347;Andreasberger Straße;11;;475.0;54.97;2.0;52.4592;13.42693;false;RENT;;3;8.6
49;93297098;Prenzlauer Berg Kiez - Tolle Singlewohnung - Laminat - Duschbad - ca. 36 m² - 602 € warm;Berlin;Prenzlauer Berg (Prenzlauer Berg);10405;Danziger Str.;108;;507.0;36.06;1.0;52.53659;13.43037;false;RENT;;3;14.1
50;115225567;Exklusive 1-Zimmer-Wohnung für anspruchsvolles Wohnen;Berlin;Charlottenburg (Charlottenburg);14057;Witzlebenstr.;6;;1359.77;90.29;1.0;52.50963;13.2938;false;RENT;;3;15.1
51;87991677;Prenzlauer Berg Kiez - 2 Zimmerwohnung mit Balkon - Tageslichtbad - Dielen - ca. 77 m² - 1040 € warm;Berlin;Prenzlauer Berg (Prenzlauer Berg);10405;Danzigerstraße;108;;843.0;77.22;2.0;52.53659;13.43037;false;RENT;;3;10.9
52;109501050;Attracktive 2 Zimmerwohnung in Neukölln! - Tageslichtbad - Laminat - Dielen- ca 55m² - 817 € warm;Berlin;Neukölln (Neukölln);10315;Lenaustraße;5;;625.0;55.16;2.0;52.48995;13.42427;false;RENT;;3;11.3
53;99999662;Hausotterplatz -Gustav-Freytag-Oberschule! 1 Zimmerwohnung- 40 m² - 520€ warm - EG;Berlin;Reinickendorf (Reinickendorf);13409;Amendestraße;81;;438.0;40.0;1.0;52.56928;13.3704;false;RENT;;3;11.0
54;81165770;Perfektes Singleapartment oder für das junge Paar! - Laminat - offene Küche -ca.47 m² - 599 warm;Berlin;Britz (Neukölln);12347;Britzer Damm;125;;460.0;47.0;1.0;52.45152;13.43848;false;RENT;;3;9.8
55;80787998;Flughafenstraße / U-Boddinstraße! Kreuzköllner Kiez! - wunderschöne 2 Zimmerwohnung - EBK - ca.67m²;Berlin;Neukölln (Neukölln);12049;Weisestraße;65;;729.0;66.96;2.0;52.4803;13.42335;false;RENT;;3;10.9
56;107851843;Schöne Dachgeschoss Wohnung;Berlin;Tiergarten (Tiergarten);10555;Alt-Moabit;46;;1936.0;121.0;3.0;52.52439;13.33148;false;RENT;;3;16.0
57;115458559;Spandau-Haselhorst: 1,5-Zimmer, Wintergarten, Parkett!  ;Berlin;Haselhorst (Spandau);13599;Gartenfelder Str.;74 c;;508.0;52.65;1.1;52.54395;13.24264;false;RENT;;3;9.6
58;115460937;Besichtigung am Sonntag, den 26.01. um 12:15 Uhr!   helle 2 Zimmer mit Terasse und EBK!;Berlin;Spandau (Spandau);13587;Streitstraße;20a;;573.0;54.96;2.0;52.5596;13.2084;false;RENT;;3;10.4
59;114450958;Helle Erdgeschosswohnung mit Terrasse;Berlin;Kreuzberg (Kreuzberg);10179;Stallschreiberstraße;28;;1590.0;91.7;3.0;52.50738;13.40613;false;RENT;;3;17.3
60;114450887;Kompakte 3 Zimmer Wohnung im Luisenpark;Berlin;Kreuzberg (Kreuzberg);10179;Stallschreiberstraße;26;;1230.0;67.0;3.0;52.50716;13.40645;false;RENT;;4;18.4
61;113934232;#Stadtdomizil – groß und hell, in ruhiger Lage direkt am Potsdamer Platz!;Berlin;Tiergarten (Tiergarten);10785;Linkstraße;6;;1990.0;122.55;3.0;52.50688;13.37443;false;RENT;;4;16.2
62;113488511;METROPOL PARK: TRAUMLOFT MITTEN IN BERLIN!;Berlin;Mitte (Mitte);10179;Rungestraße;6;;3450.0;191.44;3.0;52.5124;13.41425;false;RENT;;4;18.0
63;113706316;Aufwendig sanierte Altbauwohnung mit Balkon & hochwertiger Einbauküche;Berlin;Neukölln (Neukölln);12051;Glasower Straße;56;;1495.0;90.56;3.0;52.46433;13.43957;false;RENT;;4;16.5
64;114651089;Möblierte Erdgeschosswohnung mit Balkon & kleiner Grünfläche!;Berlin;Friedrichshain (Friedrichshain);10247;Weserstraße;38;;1690.0;89.34;3.0;52.50923;13.46817;false;RENT;;4;18.9
